Reference Sequence	ARO Term	ARO Accession	Reference Model Type	Reference DB	Reference Allele Source	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Percent Coverage	Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Mate Pair Linkage	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism
ARO:3002999|ID:2|Name:CblA-1|NCBI:GQ343019	CblA-1	3002999	protein homolog model	CARD	CARD curation	no data	no data	mixed culture	56	12	68	100.00	891	35.09		891	CblA beta-lactamase	cephalosporin	antibiotic inactivation
ARO:3002867|ID:5|Name:dfrF|NCBI:AF028812	dfrF	3002867	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	13	11	24	82.83	410	21.83		495	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement
ARO:3003550|ID:45|Name:mdtP|NCBI:AP009048.1	mdtP	3003550	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	1	0	1	7.84	115	44.00	ARO:3003549|ID:2056|Name:mdtO|NCBI:AP009048.1	1467	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; acridine dye	antibiotic efflux
ARO:3000508|ID:91|Name:gadX|NCBI:AP009048.1	gadX	3000508	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	6	0	6	61.70	509	43.33		825	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
ARO:3000796|ID:121|Name:mdtF|NCBI:U00096	mdtF	3000796	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	18	3	21	49.78	1550	33.90	ARO:3000795|ID:1903|Name:mdtE|NCBI:AP009048.1	3114	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; penam	antibiotic efflux
ARO:3002828|ID:128|Name:srmB|NCBI:X63451	srmB	3002828	protein homolog model	CARD	CARD curation	no data	no data	Streptomyces ambofaciens	3	3	6	6.84	113	7.67		1653	ABC-F ATP-binding cassette ribosomal protection protein	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; tetracycline antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target protection
ARO:3000830|ID:152|Name:cpxA|NCBI:BA000007.3	cpxA	3000830	protein homolog model	CARD	CARD curation	no data	no data	Escherichia coli	4	0	4	27.51	378	44.00		1374	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic; aminocoumarin antibiotic	antibiotic efflux
ARO:3003002|ID:174|Name:CfxA2|NCBI:AF118110.1	CfxA2	3003002	protein homolog model	CARD	CARD curation	no data	no data	Prevotella intermedia	371	34	405	100.00	966	0.94	ARO:3003005|ID:294|Name:CfxA4|NCBI:AY769933; ARO:3003003|ID:1895|Name:CfxA3|NCBI:AF472622; ARO:3003097|ID:268|Name:CfxA6|NCBI:GQ342996; ARO:3003001|ID:741|Name:CfxA|NCBI:U38243; ARO:3003096|ID:833|Name:CfxA5|NCBI:AY769934	966	CfxA beta-lactamase	cephamycin	antibiotic inactivation
ARO:3003069|ID:253|Name:vanXYG|NCBI:DQ212986	vanXYG	3003069	protein homolog model	CARD	CARD curation	no data	no data	Enterococcus faecalis	29	9	38	65.88	504	25.89	ARO:3002972|ID:1561|Name:vanTG|NCBI:DQ212986	765	glycopeptide resistance gene cluster; vanXY	glycopeptide antibiotic	antibiotic target alteration
ARO:3003097|ID:268|Name:CfxA6|NCBI:GQ342996	CfxA6	3003097	protein homolog model	CARD	CARD curation	no data	no data	uncultured organism	5280	562	5842	100.00	996	26.20	ARO:3003096|ID:833|Name:CfxA5|NCBI:AY769934; ARO:3003002|ID:174|Name:CfxA2|NCBI:AF118110.1; ARO:3003005|ID:294|Name:CfxA4|NCBI:AY769933; ARO:3003003|ID:1895|Name:CfxA3|NCBI:AF472622; ARO:3003001|ID:741|Name:CfxA|NCBI:U38243	996	CfxA beta-lactamase	cephamycin	antibiotic inactivation
